"Entry Id"	"Genes"	"Genes Relationship"	"Protein Interactions"	"Common Pathways"	"GENEmeta"	"Oligogenic variant combinations"
"611"	"MYOD1; RIPPLY1"	"Same pathway;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI842"
"612"	"NOTCH1; SLIT2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI843"
"613"	"CCDC88C; DCC; FGFR1"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Pathways in cancer"	"1"	"OLI844"
"614"	"AXL; EGF"	"Involved in the same disease"	"N.A."	"Signaling by Receptor Tyrosine Kinases;Signal Transduction"	"0"	"OLI845"
"615"	"RELN; SPRED3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI846"
"616"	"PNPLA6; POLR3A; PROKR2; TRAPPC9"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI848"
"617"	"DCAF17; DMXL2; PROKR2"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI849"
"618"	"CDON; CHD7"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI850"
"619"	"CNTN2; GNRHR; PROKR2"	"Involved in the same disease;Same pathway"	"N.A."	"GPCR downstream signalling;Class A/1 (Rhodopsin-like receptors);Signaling by GPCR;Signal Transduction;GPCR ligand binding"	"1"	"OLI851"
"620"	"ANOS1; NOS1; STS; TACR3"	"Involved in the same disease"	"N.A."	"Calcium signaling pathway;Signal Transduction"	"0"	"OLI853"
"621"	"RELN; WDR11"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI854"
"622"	"DCC; MET; PROKR2"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Nervous system development;Axon guidance;Pathways in cancer;Developmental Biology;Signal Transduction"	"1"	"OLI855"
"623"	"ANOS1; NRP2; SEMA4D"	"Relevant pathways for phenotype"	"N.A."	"Axon guidance;Nervous system development;Signal Transduction;Developmental Biology"	"0"	"OLI856"
"624"	"ANOS1; NRP1"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI857"
"625"	"FGFR1; IL17RD; LHB"	"Involved in the same disease"	"(FGFR1, IL17RD)"	"N.A."	"0"	"OLI858"
"626"	"MTOR; PROKR2"	"Involved in the same disease;Same pathway"	"N.A."	"Signal Transduction"	"1"	"OLI859"
"627"	"CHD7; EGF"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI860"
"628"	"B4GAT1; EGFR; KISS1R"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"GPCR downstream signalling;G alpha (q) signalling events;Signaling by GPCR;Signal Transduction"	"1"	"OLI861"
"629"	"PROKR2; ROBO3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI862; OLI892"
"630"	"EBF2; PROKR2; RELN; SEMA3A"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI863"
"631"	"DLX5; PROKR2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI864"
"632"	"HGF; PROKR2"	"Involved in the same disease"	"N.A."	"Signal Transduction"	"0"	"OLI865"
"633"	"GNRHR; SEMA7A"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI866"
"634"	"CHD7; ERBB4"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI867"
"635"	"IL17RD; PROKR2"	"Relevant pathways for phenotype;Monogenic experiments only;Involved in the same disease"	"N.A."	"Signal Transduction"	"1"	"OLI868; OLI1341; OLI1108"
"636"	"CHD7; NRP2; PLXNB1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI869"
"637"	"EFNA5; PROKR2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI870"
"638"	"EGFR; IGF1"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Ras signaling pathway;Breast cancer;EGFR tyrosine kinase inhibitor resistance;Endocrine resistance;Melanoma;Proteoglycans in cancer;MAPK signaling pathway;Focal adhesion;secretion and action;Glioma;Pathways in cancer;Signal Transduction;Signaling by Receptor Tyrosine Kinases;Rap1 signaling pathway;PI3K-Akt signaling pathway;HIF-1 signaling pathway;Prostate cancer;FoxO signaling pathway"	"1"	"OLI871"
"639"	"CHD7; RELN"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI872; OLI875"
"640"	"DCC; EGFR"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Colorectal cancer;Nervous system development;Axon guidance;Pathways in cancer;Developmental Biology"	"1"	"OLI873"
"641"	"DLX5; EGF; PLXNA1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI874"
"642"	"ANOS1; RELN"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI876"
"643"	"CHD7; MTOR; RELN"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI877"
"644"	"NRP2; PLXNB1; RELN; TLE4"	"Relevant pathways for phenotype"	"N.A."	"Axon guidance;Nervous system development;Signal Transduction;Developmental Biology"	"0"	"OLI878"
"645"	"IGF1; PAX6"	"Same pathway;Relevant pathways for phenotype"	"N.A."	"secretion;Signaling pathways regulating pluripotency of stem cells;Peptide hormone metabolism;Synthesis;Metabolism of proteins"	"1"	"OLI879"
"646"	"FEZ1; IGF1; PAX6; PLXNB1"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI880"
"647"	"CASR; SEMA3A"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI881"
"648"	"EGFR; ERBB4; SEMA4D"	"Relevant pathways for phenotype"	"(EGFR, ERBB4)"	"Nervous system development;Calcium signaling pathway;MAPK signaling pathway;Axon guidance;ErbB signaling pathway;Developmental Biology;PI3K-Akt signaling pathway"	"0"	"OLI882"
"649"	"AXL; SLIT2"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI883"
"650"	"EGFR; NOS1; SEMA4D"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Nervous system development;Calcium signaling pathway;Axon guidance;Developmental Biology;Relaxin signaling pathway"	"0"	"OLI884"
"651"	"ANOS1; PAX6; PLXNB1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Signal Transduction"	"0"	"OLI885"
"652"	"DCAF17; RELN"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI886"
"653"	"EDNRB; PAX6; PROKR2; RELN"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"GPCR downstream signalling;Class A/1 (Rhodopsin-like receptors);Signaling by GPCR;Developmental Biology;Peptide ligand-binding receptors;Signal Transduction;GPCR ligand binding"	"1"	"OLI887"
"654"	"PLXNB1; RELN; ROBO3"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Axon guidance;Nervous system development"	"1"	"OLI888"
"655"	"LIF; PLXNB1"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI889"
"656"	"LHB; PROKR2"	"Involved in the same disease;Same pathway"	"N.A."	"GPCR downstream signalling;Class A/1 (Rhodopsin-like receptors);Signaling by GPCR;Signal Transduction;GPCR ligand binding"	"1"	"OLI890; OLI1110"
"657"	"LHB; SEMA7A"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI891"
"658"	"LHB; NRP2"	"N.A."	"N.A."	"Signal Transduction"	"0"	"OLI893"
"659"	"GNRHR; TYRO3"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI896"
"660"	"EDNRB; NOS1"	"N.A."	"N.A."	"Calcium signaling pathway;Relaxin signaling pathway"	"0"	"OLI897"
"661"	"CHD7; NSMF"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI898; OLI1112"
"662"	"GH1; PROKR2"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI899"
"663"	"PROKR2; RELN; ROBO3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI900"
"664"	"EGFR; NRP2; RELN"	"Involved in the same disease;Same pathway"	"N.A."	"Nervous system development;L1CAM interactions;Axon guidance;Human papillomavirus infection;Signaling by Receptor Tyrosine Kinases;Developmental Biology;PI3K-Akt signaling pathway;Signal Transduction"	"1"	"OLI901"
"665"	"AXL; GNRHR; PLXNB1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"GPCR downstream signalling;Signaling by GPCR;Signal Transduction"	"0"	"OLI902"
"666"	"CHD7; DLX5"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI903"
"667"	"B4GAT1; DCC"	"N.A."	"N.A."	"N.A."	"0"	"OLI904"
"668"	"ERBB4; RELN"	"Relevant pathways for phenotype"	"N.A."	"PI3K-Akt signaling pathway"	"0"	"OLI905"
"669"	"EGF; GHR; MET; MTOR"	"Relevant pathways for phenotype"	"N.A."	"MAPK family signaling cascades;EGFR tyrosine kinase inhibitor resistance;Central carbon metabolism in cancer;PD-L1 expression and PD-1 checkpoint pathway in cancer;Intracellular signaling by second messengers;Gene expression (Transcription);Proteoglycans in cancer;Focal adhesion;secretion and action;PIP3 activates AKT signaling;Signaling by Receptor Tyrosine Kinases;PP2A and IER3 Regulate PI3K/AKT Signaling;Generic Transcription Pathway;ErbB signaling pathway;Ras signaling pathway;Melanoma;Choline metabolism in cancer;Calcium signaling pathway;Pancreatic cancer;Hepatocellular carcinoma;MAPK signaling pathway;JAK-STAT signaling pathway;RAF/MAP kinase cascade;RNA Polymerase II Transcription;Glioma;Constitutive Signaling by Aberrant PI3K in Cancer;Gastric cancer;HIF-1 signaling pathway;Breast cancer;MAPK1/MAPK3 signaling;Colorectal cancer;Immune System;Phospholipase D signaling pathway;PI3K/AKT Signaling in Cancer;Pathways in cancer;MicroRNAs in cancer;Negative regulation of the PI3K/AKT network;Prostate cancer;Disease;Diseases of signal transduction by growth factor receptors and second messengers;Growth hormone synthesis;Human papillomavirus infection;Non-small cell lung cancer;PI5P;Rap1 signaling pathway;PI3K-Akt signaling pathway;Signal Transduction"	"0"	"OLI906"
"670"	"EPHA5; ERBB4; RELN; STS"	"Relevant pathways for phenotype"	"N.A."	"Axon guidance;PI3K-Akt signaling pathway;Nervous system development;Developmental Biology"	"0"	"OLI907"
"671"	"B4GAT1; CCKAR; IL17RD"	"N.A."	"N.A."	"N.A."	"0"	"OLI908"
"672"	"B4GAT1; FGFR1; LHB"	"Involved in the same disease;Same pathway"	"N.A."	"Disease;Metabolism of proteins;Post-translational protein modification;Metabolism"	"1"	"OLI909"
"673"	"SEMA7A; SLIT2"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Axon guidance;Developmental Biology;Nervous system development"	"1"	"OLI910"
"674"	"GHR; LHB"	"Same pathway"	"N.A."	"Neuroactive ligand-receptor interaction"	"1"	"OLI911"
"675"	"CHD7; PLXNA1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI912"
"676"	"EGF; NRP1; RELN"	"Relevant pathways for phenotype"	"N.A."	"Nervous system development;Axon guidance;Human papillomavirus infection;Signaling by Receptor Tyrosine Kinases;Developmental Biology;PI3K-Akt signaling pathway"	"0"	"OLI913"
"677"	"CNTN2; LHB; SEMA7A"	"Relevant pathways for phenotype"	"N.A."	"Axon guidance;Nervous system development"	"0"	"OLI914"
"678"	"FGFR1; GNRH1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI915; OLI1601"
"679"	"C2orf74; MITF"	"Monogenic experiments only;Expression in the same tissue"	"N.A."	"N.A."	"0"	"OLI917"
"680"	"IL36RN; SEC61A1"	"Monogenic experiments only;Same pathway;Involved in the same disease"	"N.A."	"Immune System"	"3"	"OLI918"
"681"	"ARHGAP36; RXRG; TKTL1"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI919"
"682"	"AMOT; DTX1; GPR50"	"Monogenic experiments only;Expression in the same tissue;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI920"
"683"	"PIGO; TSPAN7"	"Expression in the same tissue;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI921"
"684"	"BBS2; CRB2"	"Same organelle"	"N.A."	"N.A."	"1"	"OLI922"
"685"	"BBS10; PMM2"	"Expression in the same tissue"	"N.A."	"N.A."	"0"	"OLI923"
"686"	"ERCC5; LRP2; SLC22A5"	"Expression in the same tissue"	"N.A."	"N.A."	"0"	"OLI924"
"687"	"NAGA; POLG"	"Expression in the same tissue"	"N.A."	"N.A."	"0"	"OLI925"
"688"	"GALC; GJA1"	"Monogenic experiments only"	"N.A."	"N.A."	"0"	"OLI926"
"689"	"ACADM; LIG4; ZFPM2"	"Expression in the same tissue"	"N.A."	"N.A."	"0"	"OLI927"
"690"	"EZH2; IFT172; RARS2"	"Expression in the same tissue"	"N.A."	"N.A."	"0"	"OLI928"
"691"	"IFT172; NPC1; TBCD"	"Expression in the same tissue"	"N.A."	"N.A."	"0"	"OLI929"
"692"	"SCO2; SMO"	"Expression in the same tissue"	"N.A."	"N.A."	"0"	"OLI930"
"693"	"ODAD2; TREX1"	"N.A."	"N.A."	"N.A."	"0"	"OLI931"
"694"	"ALDH5A1; ATG7; DIP2C; HUWE1; ITPR3; TPH2"	"Monogenic experiments only;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype;Expression in the same tissue"	"N.A."	"N.A."	"2"	"OLI932"
"695"	"TRAPPC11; TTN"	"Involvement in relevant pathway(s) for phenotype;Involved in the same disease;Monogenic experiments only"	"N.A."	"N.A."	"2"	"OLI933"
"696"	"DPP4; SCN9A"	"Affecting the same tissue;Involvement in relevant pathway(s) for phenotype;Monogenic experiments only;Expression in the same tissue"	"N.A."	"N.A."	"1"	"OLI934"
"697"	"ABCA13; SCN9A; SYT14"	"Monogenic experiments only;Relevant pathways(s) for phenotype;Involvement in relevant pathway(s) for phenotype;Expression in the same tissue;Affecting the same tissue"	"N.A."	"N.A."	"1"	"OLI935"
"698"	"LRP6; WNT10A"	"Involved in the same disease;Same pathway;Directly interacting;Same pathway;Relevant pathways for phenotype"	"N.A."	"Wnt signaling pathway;Signaling by WNT;mTOR signaling pathway;Alzheimer disease;Signal Transduction;Pathways of neurodegeneration - multiple diseases;Gastric cancer;Hepatocellular carcinoma;Pathways in cancer;Breast cancer"	"2"	"OLI936; OLI937; OLI938"
"699"	"CFAP410; SOD1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI940"
"700"	"ATP13A2; SOD1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI941"
"701"	"HNRNPA2B1; SOD1"	"Same pathway;Involved in the same disease"	"N.A."	"Cytokine Signaling in Immune system;Amyotrophic lateral sclerosis;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation;Interleukin-12 family signaling;Interleukin-12 signaling;Signaling by Interleukins;Immune System"	"0"	"OLI942"
"702"	"ELP3; SOD1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI943"
"703"	"SETX; SPG11"	"Same pathway;Involved in the same disease"	"N.A."	"Amyotrophic lateral sclerosis"	"0"	"OLI944"
"704"	"GRN; TAF15"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI946"
"705"	"GARS1; TIA1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI947"
"706"	"GARS1; SOD1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI948"
"707"	"GARS1; NEK1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI949"
"708"	"FIG4; NEK1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI951; OLI1013"
"709"	"DAO; SQSTM1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI952"
"710"	"CCNF; DCTN1"	"Same pathway;Involved in the same disease"	"N.A."	"Metabolism of proteins;Post-translational protein modification;Adaptive Immune System;Immune System"	"0"	"OLI953"
"711"	"CACNA1H; NEK1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI954"
"712"	"ALS2; ATXN2"	"Same pathway;Involved in the same disease"	"N.A."	"Pathways of neurodegeneration - multiple diseases;Amyotrophic lateral sclerosis"	"0"	"OLI955"
"713"	"ATXN2; VCP"	"Same pathway;Involved in the same disease"	"N.A."	"Pathways of neurodegeneration - multiple diseases;Amyotrophic lateral sclerosis"	"0"	"OLI956"
"714"	"ATXN2; KIF5A"	"Same pathway;Involved in the same disease"	"N.A."	"Pathways of neurodegeneration - multiple diseases;Amyotrophic lateral sclerosis"	"0"	"OLI957"
"715"	"ATXN2; CACNA1H"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI958"
"716"	"ANXA11; ERBB4"	"Same pathway;Involved in the same disease"	"N.A."	"Amyotrophic lateral sclerosis"	"0"	"OLI959"
"717"	"CDON; LHX4; SIX5"	"Monogenic experiments only;Same pathway;Relevant pathways for phenotype;Expression in the same tissue"	"N.A."	"N.A."	"1"	"OLI960"
"718"	"CHD7; GLI1; SOX3"	"Monogenic experiments only;Expression in the same tissue"	"N.A."	"N.A."	"2"	"OLI961"
"719"	"GCK; HNF1A"	"Monogenic experiments only;Same pathway;Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Regulation of beta-cell development;Maturity onset diabetes of the young;Regulation of gene expression in beta cells;Developmental Biology"	"1"	"OLI962"
"720"	"PKD1; PKHD1"	"Same organelle;Involved in the same disease;Same organelle;Relevant pathways for phenotype"	"N.A."	"N.A."	"3"	"OLI963"
"721"	"DCTN1; NEK1; SOD1"	"Monogenic experiments only;Affecting relevant tissues;Involved in the same disease;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI964"
"722"	"GRN; PON1; SOD1"	"Monogenic experiments only;Affecting relevant tissues;Involved in the same disease;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI965"
"723"	"FIG4; GRN; HFE; SOD1"	"Involvement in relevant pathway(s) for phenotype;Involved in the same disease;Monogenic experiments only;Affecting relevant tissues"	"N.A."	"N.A."	"0"	"OLI966"
"724"	"GRN; PON1; SOD1; SPG11; TUBA4A; VAPB"	"Monogenic experiments only;Affecting relevant tissues;Involved in the same disease;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI967"
"725"	"APEX1; GRN; NEK1; PFN1; SOD1; TUBA4A; VAPB"	"Monogenic experiments only;Directly interacting;Affecting relevant tissues;Involved in the same disease;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype"	"(SOD1, PFN1)"	"N.A."	"0"	"OLI968"
"726"	"GRN; NEK1; PON1; SOD1; SPG11"	"Monogenic experiments only;Affecting relevant tissues;Involved in the same disease;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI969"
"727"	"FUS; NEK1; PON1; SETX; SOD1; VAPB"	"Monogenic experiments only;Affecting relevant tissues;Involved in the same disease;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI970"
"728"	"ANKRD1; MYH7"	"Involved in the same disease;Monogenic experiments only;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype;Affecting the same tissue"	"N.A."	"N.A."	"1"	"OLI976"
"729"	"MYH7; OBSCN"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI977"
"730"	"OBSCN; PLEC"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI978"
"731"	"ERG; H4C2; NCOR2; PLEC"	"Monogenic experiments only;Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI979"
"732"	"GJA5; RYR2; TNNI3K"	"Involved in the same disease;Monogenic experiments only;Expression in the same tissue;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype;Affecting the same tissue"	"N.A."	"N.A."	"1"	"OLI981"
"733"	"LAMA2; LOXL4"	"Same pathway;Involvement in relevant pathway(s) for phenotype;Monogenic experiments only;Expression in the same tissue"	"N.A."	"Extracellular matrix organization"	"1"	"OLI982"
"734"	"CEP104; CROCC; NEK1; TOM1L2; TSTD2"	"Monogenic experiments only;Directly interacting;Affecting the same tissue;Indirectly interacting;Same pathway;Relevant pathways for phenotype"	"(CEP104, NEK1)"	"N.A."	"2"	"OLI983"
"735"	"FKBP10; NBAS; NEK1; TBX5; TRIP11"	"Involvement in relevant pathway(s) for phenotype;Involved in the same disease;Relevant pathways for phenotype;Indirectly interacting"	"N.A."	"N.A."	"1"	"OLI984"
"736"	"AR; DGKK; EGF; FKBP4; GJA4"	"Directly interacting"	"(AR, FKBP4)"	"N.A."	"0"	"OLI996"
"737"	"AR; BMP4; MAP3K1; POR"	"N.A."	"N.A."	"N.A."	"0"	"OLI997"
"738"	"AR; MYH6; NR5A1"	"Directly interacting"	"(AR, NR5A1)"	"N.A."	"0"	"OLI998"
"739"	"AR; SRD5A2"	"Same pathway"	"N.A."	"Prostate cancer"	"0"	"OLI999; OLI1003"
"740"	"AR; CBX2"	"Same pathway"	"N.A."	"Cellular responses to external stimuli;Generic Transcription Pathway;Metabolism of proteins;Signal Transduction;Gene expression (Transcription);Cellular responses to stress;SUMO E3 ligases SUMOylate target proteins;RNA Polymerase II Transcription;Post-translational protein modification;SUMOylation"	"0"	"OLI1000"
"741"	"AR; ESR1"	"Same pathway;Directly interacting"	"(AR, ESR1)"	"Nuclear Receptor transcription pathway;SUMOylation of intracellular receptors;Generic Transcription Pathway;Metabolism of proteins;Signal Transduction;Gene expression (Transcription);SUMO E3 ligases SUMOylate target proteins;Post-translational protein modification;RNA Polymerase II Transcription;Transcriptional regulation by RUNX2;Deubiquitination;SUMOylation;Pathways in cancer"	"2"	"OLI1001"
"742"	"AR; GJA4; POR"	"N.A."	"N.A."	"N.A."	"0"	"OLI1002"
"743"	"AR; BMP7"	"N.A."	"N.A."	"N.A."	"0"	"OLI1004"
"744"	"AR; PHF6"	"N.A."	"N.A."	"N.A."	"0"	"OLI1005"
